message_type,mmsi,navigation_status,rate_of_turn,speed_over_ground,longitude,latitude,course_over_ground,true_heading,timeStamp
3,564420000,1,0,2,62345770,749130,2930,0,2013-07-12T10:49:59Z
3,564420000,1,0,1,62345850,749110,630,1,2013-07-12T16:37:58Z
3,564420000,1,0,1,62346120,749150,340,348,2013-07-12T16:52:55Z
3,564420000,1,0,1,62346500,749320,230,322,2013-07-12T17:25:56Z
3,564420000,1,0,0,62346880,750720,3320,246,2013-07-12T19:22:57Z
3,564420000,1,0,0,62346950,750750,3490,251,2013-07-12T19:55:59Z
3,564420000,1,0,0,62346780,751050,3190,240,2013-07-12T22:37:58Z
3,564420000,1,0,0,62346900,750930,1060,237,2013-07-13T03:43:58Z
3,564420000,1,0,0,62346820,750960,1060,239,2013-07-13T03:55:55Z
3,564420000,1,0,0,62346900,750970,400,235,2013-07-13T04:01:58Z
3,564420000,1,0,0,62346790,751020,1360,237,2013-07-13T04:31:57Z
3,564420000,1,0,0,62346670,751120,2940,227,2013-07-13T12:01:58Z
3,564420000,1,0,0,62345640,751410,1580,164,2013-07-13T16:07:57Z
3,564420000,1,0,0,62346950,751140,3100,240,2013-07-13T23:01:58Z
3,564420000,1,0,0,62346870,751120,1430,241,2013-07-14T00:43:56Z
3,564420000,1,0,0,62346920,751050,2620,243,2013-07-14T01:55:58Z
3,564420000,1,0,1,62346890,751090,3300,241,2013-07-14T04:13:56Z
3,564420000,1,0,0,62346850,751270,20,223,2013-07-14T04:37:58Z
3,564420000,1,0,2,62347150,750880,3590,245,2013-07-14T06:40:58Z
3,564420000,1,0,2,62347190,750670,3490,258,2013-07-14T07:46:58Z
3,564420000,1,0,0,62347090,750920,1630,241,2013-07-14T09:19:56Z
3,564420000,1,0,0,62347100,750930,3270,240,2013-07-14T11:34:57Z
3,564420000,1,0,0,62347110,750880,3270,243,2013-07-14T11:43:55Z
3,564420000,1,0,0,62347120,750870,3270,244,2013-07-14T11:49:55Z
3,564420000,1,0,0,62347080,750940,3270,241,2013-07-14T12:04:58Z
3,564420000,1,0,0,62346650,751290,3100,216,2013-07-14T12:49:57Z
1,564420000,0,0,3,62346180,751890,2620,200,2013-07-14T19:34:32Z
1,564420000,0,0,24,62386510,771320,2810,285,2013-07-16T10:41:17Z
1,564420000,0,0,77,62358180,741090,2420,244,2013-07-17T08:25:39Z
1,564420000,0,0,82,62345480,735440,2490,250,2013-07-17T08:35:59Z
3,564420000,0,0,82,62342900,734420,2480,250,2013-07-17T08:38:00Z
1,564420000,0,0,82,62340340,733430,2490,250,2013-07-17T08:39:59Z
1,564420000,0,0,82,62334600,731140,2450,246,2013-07-17T08:44:29Z
1,564420000,0,0,82,62334410,731060,2450,246,2013-07-17T08:44:38Z
1,564420000,0,0,82,62331470,729770,2450,246,2013-07-17T08:46:58Z
1,564420000,0,0,85,62328300,728380,2450,246,2013-07-17T08:49:28Z
1,564420000,0,0,87,62327640,728080,2450,246,2013-07-17T08:49:59Z
1,564420000,0,0,101,62321320,725230,2450,246,2013-07-17T08:54:19Z
1,564420000,0,0,103,62319510,724470,2480,244,2013-07-17T08:55:52Z
1,564420000,0,0,105,62316420,722880,2400,240,2013-07-17T08:57:28Z
1,564420000,0,0,106,62315910,722580,2400,240,2013-07-17T08:57:49Z
1,564420000,0,0,107,62315120,722110,2390,240,2013-07-17T08:58:20Z
1,564420000,0,0,107,62314910,721990,2390,240,2013-07-17T08:58:29Z
1,564420000,0,0,108,62313590,721200,2380,237,2013-07-17T08:59:19Z
1,564420000,0,0,108,62313340,721040,2370,237,2013-07-17T08:59:29Z
1,564420000,0,0,108,62313060,720860,2370,237,2013-07-17T08:59:40Z
1,564420000,0,0,109,62312560,720520,2360,237,2013-07-17T08:59:59Z
1,564420000,0,0,110,62311320,719690,2360,237,2013-07-17T09:00:49Z
1,564420000,0,0,110,62310550,719170,2360,237,2013-07-17T09:01:19Z
1,564420000,0,0,110,62310300,719000,2350,237,2013-07-17T09:01:29Z
1,564420000,0,0,110,62310070,718840,2350,237,2013-07-17T09:01:39Z
1,564420000,0,0,111,62309770,718630,2350,238,2013-07-17T09:01:49Z
1,564420000,0,0,111,62309000,718110,2370,239,2013-07-17T09:02:19Z
1,564420000,0,0,112,62308760,717950,2360,240,2013-07-17T09:02:29Z
1,564420000,0,0,112,62308240,717610,2370,241,2013-07-17T09:02:49Z
1,564420000,0,0,113,62306890,716810,2390,242,2013-07-17T09:03:39Z
1,564420000,0,0,113,62306630,716650,2380,243,2013-07-17T09:03:49Z
1,564420000,0,0,113,62306360,716490,2390,244,2013-07-17T09:03:59Z
1,564420000,0,0,113,62305540,715980,2410,245,2013-07-17T09:04:29Z
1,564420000,0,0,113,62305290,715840,2410,245,2013-07-17T09:04:39Z
1,564420000,0,0,113,62305010,715690,2420,245,2013-07-17T09:04:49Z
1,564420000,0,0,113,62303890,715120,2420,245,2013-07-17T09:05:29Z
1,564420000,0,0,113,62303610,714980,2430,245,2013-07-17T09:05:39Z
1,564420000,0,0,113,62303050,714690,2420,246,2013-07-17T09:05:59Z
1,564420000,0,0,113,62300750,713590,2440,247,2013-07-17T09:07:19Z
1,564420000,0,0,113,62299930,713230,2440,247,2013-07-17T09:07:49Z
1,564420000,0,0,111,62298220,712460,2450,247,2013-07-17T09:08:49Z
1,564420000,0,0,111,62297940,712330,2450,247,2013-07-17T09:09:00Z
1,564420000,0,0,111,62296230,711550,2450,248,2013-07-17T09:09:59Z
1,564420000,0,0,112,62294540,710830,2470,250,2013-07-17T09:10:59Z
1,564420000,0,0,112,62293680,710460,2470,252,2013-07-17T09:11:30Z
1,564420000,0,0,112,62293350,710350,2490,252,2013-07-17T09:11:40Z
1,564420000,0,0,112,62292740,710110,2490,253,2013-07-17T09:12:00Z
1,564420000,0,0,111,62283220,707300,2540,255,2013-07-17T09:17:19Z
1,564420000,0,0,111,62282920,707210,2540,255,2013-07-17T09:17:30Z
1,564420000,0,0,111,62282590,707120,2540,255,2013-07-17T09:17:40Z
1,564420000,0,0,111,62282330,707050,2540,255,2013-07-17T09:17:50Z
1,564420000,0,0,110,62279420,706200,2520,252,2013-07-17T09:19:28Z
1,564420000,0,0,110,62278520,705900,2510,252,2013-07-17T09:19:59Z
1,564420000,0,0,110,62277640,705600,2510,252,2013-07-17T09:20:28Z
1,564420000,0,0,111,62275930,705000,2500,252,2013-07-17T09:21:29Z
1,564420000,0,0,110,62274150,704380,2490,250,2013-07-17T09:22:29Z
1,564420000,0,0,110,62271000,703200,2500,248,2013-07-17T09:24:19Z
1,564420000,0,0,109,62269300,702470,2450,244,2013-07-17T09:25:20Z
1,564420000,0,0,108,62268270,701960,2420,242,2013-07-17T09:25:59Z
1,564420000,0,0,108,62266680,701110,2410,242,2013-07-17T09:26:58Z
1,564420000,0,0,110,62258720,696560,2370,240,2013-07-17T09:32:00Z
1,564420000,0,0,110,62257940,696070,2370,240,2013-07-17T09:32:29Z
1,564420000,0,0,110,62257140,695550,2370,240,2013-07-17T09:32:59Z
1,564420000,0,0,110,62256400,695060,2360,240,2013-07-17T09:33:29Z
1,564420000,0,0,110,62254900,694070,2370,240,2013-07-17T09:34:29Z
1,564420000,0,0,109,62253560,693220,2380,240,2013-07-17T09:35:19Z
1,564420000,0,0,109,62253070,692920,2370,240,2013-07-17T09:35:39Z
1,564420000,0,0,109,62252820,692750,2370,240,2013-07-17T09:35:49Z
1,564420000,0,0,110,62251790,692080,2360,241,2013-07-17T09:36:28Z
1,564420000,0,0,110,62251560,691930,2360,241,2013-07-17T09:36:39Z
1,564420000,0,0,110,62251280,691750,2360,242,2013-07-17T09:36:50Z
1,564420000,0,0,109,62251050,691600,2360,243,2013-07-17T09:36:59Z
1,564420000,0,0,110,62250240,691080,2390,247,2013-07-17T09:37:29Z
1,564420000,0,0,110,62250010,690950,2390,248,2013-07-17T09:37:38Z
1,564420000,0,0,110,62249710,690780,2400,249,2013-07-17T09:37:50Z
1,564420000,0,0,104,62246120,689480,2590,272,2013-07-17T09:39:58Z
1,564420000,0,0,101,62241030,689430,2740,280,2013-07-17T09:42:59Z
1,564420000,0,0,96,62235650,690450,2880,293,2013-07-17T09:46:21Z
1,564420000,0,0,92,62234200,691030,2930,295,2013-07-17T09:47:20Z
1,564420000,0,0,91,62233730,691250,2940,295,2013-07-17T09:47:40Z
1,564420000,0,0,91,62233480,691360,2940,295,2013-07-17T09:47:50Z
1,564420000,0,0,91,62233250,691470,2950,295,2013-07-17T09:48:00Z
1,564420000,0,0,88,62231950,692090,2940,296,2013-07-17T09:48:59Z
1,564420000,0,0,86,62230650,692740,2970,297,2013-07-17T09:49:59Z
1,564420000,0,0,85,62229990,693090,2970,297,2013-07-17T09:50:30Z
1,564420000,0,0,85,62229580,693310,2970,297,2013-07-17T09:50:49Z
