navigation_status,rate_of_turn,speed_over_ground,latitude,longitude,course_over_ground,true_heading,ts,ts_string,mmsi
0.0,5.0,0.5,1.2472166666666666,103.59308333333334,3510.0,17.0,1379252565.0,2013-09-15T21:42:45Z,477058100.0
5.0,0.0,0.10000000000000001,1.2484,103.59483333333333,440.0,330.0,1379258771.0,2013-09-15T23:26:11Z,477058100.0
5.0,5.0,0.10000000000000001,1.2521,103.5913,360.0,131.0,1379281451.0,2013-09-16T05:44:11Z,477058100.0
5.0,5.0,0.10000000000000001,1.2531166666666667,103.59321666666666,960.0,187.0,1379289372.0,2013-09-16T07:56:12Z,477058100.0
5.0,5.0,0.10000000000000001,1.2492666666666667,103.59541666666667,2020.0,310.0,1379296030.0,2013-09-16T09:47:10Z,477058100.0
5.0,-5.0,0.10000000000000001,1.2479499999999999,103.5939,780.0,3.0,1379308814.0,2013-09-16T13:20:14Z,477058100.0
1.0,-7.0,0.20000000000000001,1.1876333333333333,103.69391666666667,10.0,250.0,1379364932.0,2013-09-17T04:55:32Z,477058100.0
1.0,-5.0,0.10000000000000001,1.18815,103.69081666666666,2210.0,137.0,1379373030.0,2013-09-17T07:10:30Z,477058100.0
1.0,-5.0,0.20000000000000001,1.1873666666666667,103.69006666666667,1830.0,105.0,1379384913.0,2013-09-17T10:28:33Z,477058100.0
1.0,9.0,0.40000000000000002,1.1876500000000001,103.69403333333334,1470.0,240.0,1379394992.0,2013-09-17T13:16:32Z,477058100.0
1.0,0.0,0.10000000000000001,1.1865666666666668,103.694,3560.0,282.0,1379407772.0,2013-09-17T16:49:32Z,477058100.0
1.0,-5.0,0.10000000000000001,1.1875666666666667,103.69405,120.0,250.0,1379410111.0,2013-09-17T17:28:31Z,477058100.0
1.0,0.0,0.10000000000000001,1.1890166666666666,103.69165,2050.0,163.0,1379462491.0,2013-09-18T08:01:31Z,477058100.0
1.0,5.0,0.10000000000000001,1.1884666666666666,103.6909,480.0,132.0,1379481572.0,2013-09-18T13:19:32Z,477058100.0
1.0,5.0,0.10000000000000001,1.1882666666666666,103.69368333333334,1520.0,226.0,1379486070.0,2013-09-18T14:34:30Z,477058100.0
1.0,-5.0,0.10000000000000001,1.1887333333333334,103.69085,2060.0,141.0,1379557711.0,2013-09-19T10:28:31Z,477058100.0
1.0,0.0,0.10000000000000001,1.1879333333333333,103.69028333333333,10.0,115.0,1379564374.0,2013-09-19T12:19:34Z,477058100.0
1.0,5.0,0.10000000000000001,1.1886000000000001,103.69096666666667,570.0,138.0,1379567970.0,2013-09-19T13:19:30Z,477058100.0
1.0,5.0,0.10000000000000001,1.1883833333333333,103.69346666666667,1350.0,220.0,1379574631.0,2013-09-19T15:10:31Z,477058100.0
1.0,0.0,0.10000000000000001,1.1874666666666667,103.694,2080.0,251.0,1379614051.0,2013-09-20T02:07:31Z,477058100.0
1.0,0.0,1.3999999999999999,1.2351000000000001,103.69073333333333,2800.0,233.0,1379638037.0,2013-09-20T08:47:17Z,477058100.0
0.0,7.0,10.300000000000001,1.2242,103.94253333333333,620.0,64.0,1379774284.0,2013-09-21T22:38:04Z,477058100.0
0.0,0.0,4.7999999999999998,1.2618833333333332,103.95350000000001,2710.0,270.0,1380881492.0,2013-10-04T18:11:32Z,477058100.0
0.0,5.0,0.80000000000000004,1.2623,103.91491666666667,210.0,210.0,1380883890.0,2013-10-04T18:51:30Z,477058100.0
1.0,9.0,0.20000000000000001,1.2605333333333333,103.91698333333333,1980.0,285.0,1380903211.0,2013-10-05T00:13:31Z,477058100.0
1.0,0.0,0.29999999999999999,1.2621166666666668,103.91773333333333,1900.0,235.0,1380977734.0,2013-10-05T20:55:34Z,477058100.0
1.0,-5.0,0.20000000000000001,1.2592666666666668,103.91713333333334,90.0,329.0,1380993572.0,2013-10-06T01:19:32Z,477058100.0
1.0,-7.0,0.10000000000000001,1.2624333333333333,103.91741666666667,2960.0,231.0,1381018053.0,2013-10-06T08:07:33Z,477058100.0
1.0,-8.0,0.40000000000000002,1.2606166666666667,103.91845000000001,3460.0,286.0,1381054954.0,2013-10-06T18:22:34Z,477058100.0
1.0,7.0,0.10000000000000001,1.2619833333333332,103.91804999999999,1210.0,232.0,1381090054.0,2013-10-07T04:07:34Z,477058100.0
1.0,11.0,0.40000000000000002,1.26,103.9182,2070.0,302.0,1381166555.0,2013-10-08T01:22:35Z,477058100.0
1.0,-5.0,0.0,1.2623666666666666,103.9179,3240.0,231.0,1381199315.0,2013-10-08T10:28:35Z,477058100.0
1.0,12.0,0.20000000000000001,1.2613666666666667,103.91849999999999,1480.0,266.0,1381228291.0,2013-10-08T18:31:31Z,477058100.0
1.0,-5.0,0.10000000000000001,1.2631166666666667,103.91595,2540.0,175.0,1381237653.0,2013-10-08T21:07:33Z,477058100.0
1.0,-5.0,0.10000000000000001,1.2598,103.91478333333333,1310.0,51.0,1381328373.0,2013-10-09T22:19:33Z,477058100.0
1.0,11.0,0.5,1.2617333333333334,103.91796666666667,1400.0,249.0,1381374092.0,2013-10-10T11:01:32Z,477058100.0
1.0,-8.0,0.20000000000000001,1.2598166666666666,103.91486666666667,1470.0,58.0,1381511791.0,2013-10-12T01:16:31Z,477058100.0
1.0,5.0,0.10000000000000001,1.2628333333333333,103.91733333333333,1100.0,208.0,1381532495.0,2013-10-12T07:01:35Z,477058100.0
1.0,5.0,0.10000000000000001,1.2620333333333333,103.91823333333333,1490.0,250.0,1381551935.0,2013-10-12T12:25:35Z,477058100.0
1.0,7.0,0.20000000000000001,1.26105,103.91833333333334,1960.0,281.0,1381602151.0,2013-10-13T02:22:31Z,477058100.0
1.0,-5.0,0.10000000000000001,1.2597499999999999,103.91705,750.0,332.0,1381709613.0,2013-10-14T08:13:33Z,477058100.0
1.0,0.0,0.0,1.2630833333333333,103.91705,3030.0,207.0,1381759293.0,2013-10-14T22:01:33Z,477058100.0
1.0,5.0,0.0,1.2630333333333332,103.91716666666666,1240.0,212.0,1381812933.0,2013-10-15T12:55:33Z,477058100.0
1.0,-8.0,5.0,1.1692716666666667,103.69530333333333,2967.0,295.0,1381842454.0,2013-10-15T21:07:34Z,477058100.0
1.0,7.0,0.10000000000000001,1.2626166666666667,103.91776666666667,1240.0,230.0,1381861353.0,2013-10-16T02:22:33Z,477058100.0
1.0,-5.0,0.10000000000000001,1.2623,103.91438333333333,2510.0,124.0,1381932631.0,2013-10-16T22:10:31Z,477058100.0
1.0,-5.0,0.10000000000000001,1.2598166666666666,103.91419999999999,1770.0,58.0,1381989334.0,2013-10-17T13:55:34Z,477058100.0
1.0,-5.0,0.20000000000000001,1.2598166666666666,103.91761666666666,130.0,311.0,1382009134.0,2013-10-17T19:25:34Z,477058100.0
1.0,5.0,0.10000000000000001,1.26085,103.91786666666667,1990.0,275.0,1382012734.0,2013-10-17T20:25:34Z,477058100.0
13.0,8.0,0.20000000000000001,1.2589833333333333,103.91525,2870.0,22.0,1382020653.0,2013-10-17T22:37:33Z,477058100.0
1.0,-5.0,0.10000000000000001,1.2591333333333334,103.91630000000001,420.0,346.0,1382051073.0,2013-10-18T07:04:33Z,477058100.0
1.0,-5.0,0.10000000000000001,1.2614333333333334,103.91373333333334,1800.0,102.0,1382065291.0,2013-10-18T11:01:31Z,477058100.0
1.0,-7.0,0.20000000000000001,1.2592000000000001,103.91411666666667,1070.0,48.0,1382079335.0,2013-10-18T14:55:35Z,477058100.0
1.0,-8.0,0.20000000000000001,1.2589166666666667,103.91618333333334,870.0,342.0,1382089232.0,2013-10-18T17:40:32Z,477058100.0
1.0,-5.0,0.20000000000000001,1.2596333333333334,103.91443,1500.0,55.0,1382157272.0,2013-10-19T12:34:32Z,477058100.0
1.0,-5.0,0.20000000000000001,1.2613333333333334,103.91801666666667,3260.0,281.0,1382234852.0,2013-10-20T10:07:32Z,477058100.0
1.0,11.0,0.5,1.2599333333333333,103.91764999999999,2190.0,308.0,1382263291.0,2013-10-20T18:01:31Z,477058100.0
1.0,7.0,0.10000000000000001,1.2624,103.91796666666667,1490.0,234.0,1382388212.0,2013-10-22T04:43:32Z,477058100.0
1.0,-7.0,0.20000000000000001,1.2623333333333333,103.9149,2030.0,131.0,1382424753.0,2013-10-22T14:52:33Z,477058100.0
1.0,-8.0,0.40000000000000002,1.26085,103.91815,130.0,288.0,1382476234.0,2013-10-23T05:10:34Z,477058100.0
1.0,5.0,0.10000000000000001,1.2615000000000001,103.9145,400.0,115.0,1382559392.0,2013-10-24T04:16:32Z,477058100.0
1.0,-7.0,0.10000000000000001,1.2630166666666667,103.91598333333333,2400.0,173.0,1382603672.0,2013-10-24T16:34:32Z,477058100.0
1.0,0.0,0.10000000000000001,1.26085,103.91743333333334,1590.0,277.0,1382767294.0,2013-10-26T14:01:34Z,477058100.0
1.0,7.0,0.20000000000000001,1.25905,103.91630000000001,2450.0,337.0,1382778454.0,2013-10-26T17:07:34Z,477058100.0
1.0,-9.0,0.5,1.2589333333333332,103.91475,1140.0,40.0,1382836954.0,2013-10-27T09:22:34Z,477058100.0
1.0,-5.0,0.10000000000000001,1.2595000000000001,103.91719999999999,310.0,310.0,1382852972.0,2013-10-27T13:49:32Z,477058100.0
0.0,5.0,0.10000000000000001,1.2294,103.55733333333333,3080.0,37.0,1382889110.0,2013-10-27T23:51:50Z,477058100.0
0.0,5.0,0.10000000000000001,1.2311833333333333,103.55633333333333,50.0,88.0,1382893440.0,2013-10-28T01:04:00Z,477058100.0
0.0,5.0,0.10000000000000001,1.2309333333333334,103.54145,690.0,137.0,1382926630.0,2013-10-28T10:17:10Z,477058100.0
5.0,-5.0,0.10000000000000001,1.2302,103.54091666666666,1900.0,124.0,1382941851.0,2013-10-28T14:30:51Z,477058100.0
5.0,5.0,0.10000000000000001,1.2313666666666667,103.54353333333333,1160.0,186.0,1382971548.0,2013-10-28T22:45:48Z,477058100.0
5.0,-5.0,0.10000000000000001,1.2302999999999999,103.54125000000001,2110.0,140.0,1382985590.0,2013-10-29T02:39:50Z,477058100.0
5.0,-5.0,0.10000000000000001,1.2293333333333334,103.54095,2170.0,113.0,1382987572.0,2013-10-29T03:12:52Z,477058100.0
5.0,7.0,0.20000000000000001,1.2313499999999999,103.54251666666667,440.0,155.0,1383017810.0,2013-10-29T11:36:50Z,477058100.0
5.0,0.0,0.10000000000000001,1.2304999999999999,103.54148333333333,860.0,125.0,1383030229.0,2013-10-29T15:03:49Z,477058100.0
5.0,7.0,0.20000000000000001,1.2311333333333334,103.5424,520.0,157.0,1383053988.0,2013-10-29T21:39:48Z,477058100.0
5.0,-5.0,0.10000000000000001,1.2304666666666666,103.54113333333333,2080.0,135.0,1383076131.0,2013-10-30T03:48:51Z,477058100.0
5.0,5.0,0.10000000000000001,1.22925,103.54063333333333,3450.0,106.0,1383092148.0,2013-10-30T08:15:48Z,477058100.0
0.0,0.0,8.4000000000000004,1.21465,103.92051666666667,630.0,65.0,1383112685.0,2013-10-30T13:58:05Z,477058100.0
