message_type,mmsi,navigation_status,rate_of_turn,speed_over_ground,longitude,latitude,course_over_ground,true_heading,timeStamp
1,563210000,0,0,128,62347490,734400,2510,252,2013-07-27T00:40:44Z
1,563210000,0,0,124,62344560,733320,2470,244,2013-07-27T00:42:13Z
1,563210000,0,0,119,62335650,728820,2490,246,2013-07-27T00:47:12Z
1,563210000,0,0,111,62330840,726810,2540,255,2013-07-27T00:49:53Z
1,563210000,0,0,108,62329340,726390,2540,250,2013-07-27T00:50:43Z
1,563210000,0,0,104,62326630,725350,2450,246,2013-07-27T00:52:25Z
1,563210000,0,0,104,62326360,725230,2450,246,2013-07-27T00:52:34Z
1,563210000,0,0,103,62323640,724050,2440,244,2013-07-27T00:54:14Z
1,563210000,0,0,102,62321130,722710,2420,247,2013-07-27T00:55:54Z
1,563210000,0,0,96,62318150,721290,2440,246,2013-07-27T00:57:53Z
1,563210000,0,0,74,62315680,720090,2440,246,2013-07-27T00:59:54Z
1,563210000,0,0,70,62314960,719730,2430,245,2013-07-27T01:00:33Z
1,563210000,0,0,68,62314570,719520,2420,247,2013-07-27T01:00:54Z
1,563210000,0,0,63,62313340,718880,2420,247,2013-07-27T01:02:13Z
1,563210000,0,0,63,62313180,718800,2420,247,2013-07-27T01:02:23Z
1,563210000,0,0,61,62312410,718400,2430,246,2013-07-27T01:03:13Z
1,563210000,0,0,60,62311740,718050,2420,248,2013-07-27T01:03:54Z
1,563210000,0,0,60,62311490,717920,2430,248,2013-07-27T01:04:13Z
1,563210000,0,0,55,62310010,717230,2440,250,2013-07-27T01:05:54Z
1,563210000,0,0,51,62307920,716230,2430,250,2013-07-27T01:08:34Z
1,563210000,0,0,52,62307370,715940,2420,250,2013-07-27T01:09:24Z
1,563210000,0,0,52,62307370,715940,2410,250,2013-07-27T01:09:34Z
1,563210000,0,0,52,62305450,714970,2430,251,2013-07-27T01:11:44Z
1,563210000,0,0,52,62305330,714910,2430,251,2013-07-27T01:11:53Z
1,563210000,0,0,52,62305200,714840,2440,251,2013-07-27T01:12:03Z
1,563210000,0,0,51,62304130,714300,2430,250,2013-07-27T01:13:24Z
1,563210000,0,0,51,62303150,713760,2400,251,2013-07-27T01:14:43Z
1,563210000,0,0,49,62300350,712240,2430,252,2013-07-27T01:18:24Z
1,563210000,0,0,49,62300120,712130,2430,252,2013-07-27T01:18:44Z
1,563210000,0,0,49,62299740,711930,2430,253,2013-07-27T01:19:14Z
1,563210000,0,0,49,62299390,711770,2440,253,2013-07-27T01:19:43Z
1,563210000,0,0,49,62299000,711580,2440,252,2013-07-27T01:20:14Z
1,563210000,0,0,48,62297520,710860,2460,252,2013-07-27T01:22:14Z
1,563210000,0,0,48,62296550,710430,2490,257,2013-07-27T01:23:35Z
1,563210000,0,0,47,62295680,710140,2500,256,2013-07-27T01:24:44Z
1,563210000,0,0,47,62295180,709960,2510,257,2013-07-27T01:25:23Z
1,563210000,0,0,47,62294790,709830,2520,257,2013-07-27T01:25:55Z
1,563210000,0,0,46,62294540,709750,2520,255,2013-07-27T01:26:15Z
1,563210000,0,0,46,62293450,709340,2500,254,2013-07-27T01:27:43Z
1,563210000,0,0,45,62292730,709040,2460,254,2013-07-27T01:28:43Z
1,563210000,0,0,45,62292590,708970,2460,254,2013-07-27T01:28:54Z
1,563210000,0,0,45,62292500,708930,2460,254,2013-07-27T01:29:02Z
1,563210000,0,0,46,62291900,708660,2460,255,2013-07-27T01:29:55Z
1,563210000,0,0,48,62289130,707450,2480,255,2013-07-27T01:33:43Z
1,563210000,0,0,49,62288350,707150,2490,254,2013-07-27T01:34:43Z
1,563210000,0,0,66,62287030,706670,2500,255,2013-07-27T01:36:13Z
1,563210000,0,0,72,62286610,706530,2520,254,2013-07-27T01:36:33Z
1,563210000,0,0,74,62286450,706480,2520,254,2013-07-27T01:36:43Z
1,563210000,0,0,78,62286020,706330,2500,255,2013-07-27T01:37:03Z
1,563210000,0,0,85,62284920,705970,2520,255,2013-07-27T01:37:54Z
1,563210000,0,0,86,62284680,705910,2530,254,2013-07-27T01:38:03Z
1,563210000,0,0,90,62283520,705530,2520,255,2013-07-27T01:38:53Z
1,563210000,0,0,92,62283030,705380,2520,254,2013-07-27T01:39:14Z
1,563210000,0,-127,100,62277850,703760,2510,250,2013-07-27T01:42:32Z
1,563210000,0,-127,100,62277530,703640,2500,248,2013-07-27T01:42:45Z
1,563210000,0,0,100,62275590,702610,2370,239,2013-07-27T01:44:04Z
1,563210000,0,0,103,62272930,700900,2370,240,2013-07-27T01:45:54Z
1,563210000,0,0,102,62266060,696920,2380,238,2013-07-27T01:50:33Z
1,563210000,0,0,102,62265500,696580,2380,238,2013-07-27T01:50:54Z
1,563210000,0,0,104,62261670,694150,2360,236,2013-07-27T01:53:33Z
1,563210000,0,0,106,62260190,693150,2350,236,2013-07-27T01:54:32Z
1,563210000,0,0,106,62257350,691140,2330,236,2013-07-27T01:56:33Z
1,563210000,0,0,106,62257040,690910,2340,236,2013-07-27T01:56:44Z
1,563210000,0,0,108,62251980,687090,2360,240,2013-07-27T02:00:14Z
1,563210000,0,0,109,62251260,686600,2350,241,2013-07-27T02:00:43Z
1,563210000,0,127,94,62248140,684450,2340,244,2013-07-27T02:02:53Z
3,563210000,0,127,89,62247630,684090,2350,252,2013-07-27T02:03:20Z
3,563210000,0,127,85,62247280,683880,2390,260,2013-07-27T02:03:36Z
3,563210000,0,127,84,62247200,683840,2400,262,2013-07-27T02:03:41Z
3,563210000,0,127,83,62247110,683800,2410,264,2013-07-27T02:03:44Z
3,563210000,0,127,82,62247050,683770,2420,266,2013-07-27T02:03:47Z
3,563210000,0,127,79,62246890,683710,2460,271,2013-07-27T02:03:57Z
3,563210000,0,127,78,62246810,683680,2470,272,2013-07-27T02:03:59Z
3,563210000,0,127,77,62246770,683670,2480,273,2013-07-27T02:04:02Z
3,563210000,0,127,76,62246670,683640,2500,275,2013-07-27T02:04:06Z
3,563210000,0,127,60,62245590,683660,2810,298,2013-07-27T02:05:06Z
3,563210000,0,127,59,62245510,683690,2840,300,2013-07-27T02:05:13Z
1,563210000,0,0,57,62244400,684380,3070,305,2013-07-27T02:06:34Z
1,563210000,0,0,53,62243680,684940,3040,299,2013-07-27T02:07:34Z
1,563210000,0,0,48,62242990,685390,3030,300,2013-07-27T02:08:34Z
1,563210000,0,0,44,62242690,685610,3030,301,2013-07-27T02:09:03Z
1,563210000,0,0,43,62242600,685670,3040,301,2013-07-27T02:09:14Z
1,563210000,0,0,42,62242490,685750,3040,301,2013-07-27T02:09:24Z
1,563210000,0,0,40,62242400,685820,3050,301,2013-07-27T02:09:34Z
1,563210000,0,0,28,62241750,686330,3090,299,2013-07-27T02:11:03Z
1,563210000,0,0,27,62241640,686430,3100,298,2013-07-27T02:11:23Z
1,563210000,0,0,26,62241290,686700,3050,299,2013-07-27T02:12:24Z
1,563210000,0,0,27,62241120,686820,3070,300,2013-07-27T02:12:54Z
1,563210000,0,0,29,62240850,687040,3090,300,2013-07-27T02:13:34Z
1,563210000,0,0,34,62240500,687320,3080,300,2013-07-27T02:14:25Z
1,563210000,0,0,45,62239550,688010,3050,300,2013-07-27T02:16:04Z
1,563210000,0,0,46,62239440,688080,3050,300,2013-07-27T02:16:14Z
1,563210000,0,0,51,62238580,688700,3050,300,2013-07-27T02:17:32Z
1,563210000,0,0,53,62238090,689050,3050,299,2013-07-27T02:18:13Z
1,563210000,0,0,53,62237930,689160,3040,299,2013-07-27T02:18:24Z
1,563210000,0,0,53,62237830,689230,3040,299,2013-07-27T02:18:33Z
1,563210000,0,0,55,62237070,689740,3030,299,2013-07-27T02:19:33Z
1,563210000,0,0,56,62236550,690090,3030,299,2013-07-27T02:20:14Z
1,563210000,0,0,57,62236410,690190,3030,299,2013-07-27T02:20:25Z
1,563210000,0,0,57,62235990,690460,3030,300,2013-07-27T02:20:54Z
1,563210000,0,0,58,62235730,690630,3030,300,2013-07-27T02:21:13Z
1,563210000,0,0,58,62235460,690810,3040,300,2013-07-27T02:21:33Z
1,563210000,0,0,61,62235060,691080,3030,300,2013-07-27T02:22:02Z
1,563210000,0,0,63,62234910,691180,3030,300,2013-07-27T02:22:13Z
1,563210000,0,0,67,62234720,691300,3020,300,2013-07-27T02:22:24Z
1,563210000,0,0,81,62233840,691870,3020,300,2013-07-27T02:23:13Z
1,563210000,0,0,84,62233620,692000,3010,300,2013-07-27T02:23:24Z
1,563210000,0,0,88,62233200,692270,3020,300,2013-07-27T02:23:44Z
1,563210000,0,0,90,62232990,692400,3020,300,2013-07-27T02:23:55Z
1,563210000,0,0,91,62232790,692530,3020,299,2013-07-27T02:24:03Z
1,563210000,0,0,93,62232540,692680,3010,299,2013-07-27T02:24:13Z
1,563210000,0,0,95,62232320,692820,3010,299,2013-07-27T02:24:24Z
1,563210000,0,0,96,62232090,692960,3010,299,2013-07-27T02:24:33Z
1,563210000,0,0,98,62231620,693250,3010,299,2013-07-27T02:24:55Z
1,563210000,0,0,99,62231380,693390,3000,300,2013-07-27T02:25:03Z
1,563210000,0,0,101,62230870,693700,3010,301,2013-07-27T02:25:24Z
1,563210000,0,0,103,62229950,694290,3020,301,2013-07-27T02:26:02Z
1,563210000,0,0,104,62229660,694480,3020,301,2013-07-27T02:26:15Z
1,563210000,0,0,104,62229440,694630,3030,300,2013-07-27T02:26:24Z
1,563210000,0,0,105,62229210,694770,3030,300,2013-07-27T02:26:33Z
1,563210000,0,0,108,62226940,696260,3030,300,2013-07-27T02:28:02Z
1,563210000,0,0,108,62226430,696590,3030,300,2013-07-27T02:28:23Z
1,563210000,0,0,108,62226210,696740,3030,300,2013-07-27T02:28:33Z
1,563210000,0,0,109,62224880,697600,3020,300,2013-07-27T02:29:24Z
1,563210000,0,0,109,62224670,697730,3020,300,2013-07-27T02:29:33Z
1,563210000,0,0,110,62224110,698090,3020,301,2013-07-27T02:29:54Z
1,563210000,0,0,110,62223870,698250,3030,300,2013-07-27T02:30:03Z
1,563210000,0,0,110,62223590,698430,3030,300,2013-07-27T02:30:15Z
1,563210000,0,0,110,62223380,698570,3020,300,2013-07-27T02:30:23Z
