navigation_status,rate_of_turn,speed_over_ground,latitude,longitude,course_over_ground,true_heading,ts,ts_string
1.2878787878787878,0.0,0.28484848484848502,1.2391406565656566,103.743512626266,1682.5757575757575,79.409090909090907,1380504792.060606,2013-09-30T09:33:12Z
5.0,0.0,0.0,1.2389166666666667,103.74353333333333,1940.0,82.0,1380508134.0,2013-09-30T10:28:54Z
5.0,0.0,0.0,1.2389333333333334,103.74353333333333,1940.0,82.0,1380508493.0,2013-09-30T10:34:53Z
5.0,0.0,0.0,1.23895,103.74351666666666,1940.0,82.0,1380508677.0,2013-09-30T10:37:57Z
5.0,0.0,0.0,1.2389333333333334,103.74353333333333,1940.0,82.0,1380508853.0,2013-09-30T10:40:53Z
5.0,0.0,0.0,1.2389333333333334,103.74353333333333,1940.0,82.0,1380509215.0,2013-09-30T10:46:55Z
5.0,0.0,0.0,1.23895,103.74351666666666,1940.0,82.0,1380509573.0,2013-09-30T10:52:53Z
5.0,0.0,0.0,1.23895,103.74353333333333,1940.0,82.0,1380510472.0,2013-09-30T11:07:52Z
5.0,0.0,0.0,1.23895,103.74353333333333,1940.0,82.0,1380510539.0,2013-09-30T11:08:59Z
5.0,0.0,0.0,1.23895,103.74351666666666,1940.0,82.0,1380510655.0,2013-09-30T11:10:55Z
5.0,0.0,0.0,1.23895,103.74351666666666,1940.0,82.0,1380510832.0,2013-09-30T11:13:52Z
5.0,0.0,0.0,1.23895,103.74353333333333,1940.0,82.0,1380511079.0,2013-09-30T11:17:59Z
5.0,0.0,0.0,1.23895,103.74353333333333,1940.0,82.0,1380511193.0,2013-09-30T11:19:53Z
5.0,0.0,0.0,1.23895,103.74351666666666,1940.0,82.0,1380511734.0,2013-09-30T11:28:54Z
5.0,0.0,0.0,1.2389333333333334,103.74351666666666,1940.0,82.0,1380511913.0,2013-09-30T11:31:53Z
5.0,0.0,0.0,1.23895,103.7435,1940.0,82.0,1380512093.0,2013-09-30T11:34:53Z
5.0,0.0,0.0,1.2389333333333334,103.74353333333333,1940.0,82.0,1380512273.0,2013-09-30T11:37:53Z
5.0,0.0,0.0,1.2389333333333334,103.74353333333333,1940.0,82.0,1380512453.0,2013-09-30T11:40:53Z
5.0,0.0,0.0,1.2389333333333334,103.7435,1940.0,82.0,1380512815.0,2013-09-30T11:46:55Z
