navigation_status,rate_of_turn,speed_over_ground,latitude,longitude,course_over_ground,true_heading,ts,ts_string
1.0,-128.0,0.20000000000000001,1.2456050000000001,103.79349166666667,2407.0,511.0,1385308932.0,2013-11-25T00:02:12Z
1.0,-128.0,0.10000000000000001,1.2456333333333334,103.79350333333333,2780.0,511.0,1385309651.0,2013-11-25T00:14:11Z
1.0,-128.0,0.0,1.24559,103.79348666666667,1643.0,511.0,1385310012.0,2013-11-25T00:20:12Z
1.0,-128.0,0.10000000000000001,1.2455816666666666,103.79348166666666,611.0,511.0,1385310188.0,2013-11-25T00:23:08Z
1.0,-128.0,0.20000000000000001,1.2456516666666666,103.79348666666667,171.0,511.0,1385310369.0,2013-11-25T00:26:09Z
1.0,-128.0,0.10000000000000001,1.24549,103.79347333333334,3007.0,511.0,1385310732.0,2013-11-25T00:32:12Z
1.0,-128.0,0.0,1.2456033333333334,103.79354166666667,0.0,511.0,1385311451.0,2013-11-25T00:44:11Z
1.0,-128.0,0.0,1.2459116666666668,103.793795,2645.0,511.0,1385313252.0,2013-11-25T01:14:12Z
1.0,-128.0,0.10000000000000001,1.2458766666666667,103.79371500000001,2412.0,511.0,1385313431.0,2013-11-25T01:17:11Z
1.0,-128.0,0.10000000000000001,1.2457716666666667,103.79355,2534.0,511.0,1385313970.0,2013-11-25T01:26:10Z
1.0,-128.0,0.0,1.2457433333333334,103.793555,1318.0,511.0,1385314152.0,2013-11-25T01:29:12Z
1.0,-128.0,0.10000000000000001,1.2457216666666666,103.79356333333334,1453.0,511.0,1385314331.0,2013-11-25T01:32:11Z
1.0,-128.0,0.0,1.2455116666666666,103.79350166666667,2703.0,511.0,1385315589.0,2013-11-25T01:53:09Z
1.0,-128.0,0.20000000000000001,1.2455283333333333,103.79348166666666,2712.0,511.0,1385315771.0,2013-11-25T01:56:11Z
1.0,-128.0,0.0,1.2455183333333333,103.793505,381.0,511.0,1385316131.0,2013-11-25T02:02:11Z
1.0,-128.0,0.0,1.2455566666666666,103.79353666666667,555.0,511.0,1385316312.0,2013-11-25T02:05:12Z
1.0,-128.0,0.0,1.2456100000000001,103.79358499999999,427.0,511.0,1385316489.0,2013-11-25T02:08:09Z
1.0,-128.0,0.0,1.2456883333333333,103.79363666666667,2751.0,511.0,1385316851.0,2013-11-25T02:14:11Z
1.0,-128.0,0.0,1.2456983333333334,103.79362333333333,2946.0,511.0,1385317029.0,2013-11-25T02:17:09Z
0.0,-128.0,0.0,1.24573,103.79362666666667,17.0,511.0,1385317147.0,2013-11-25T02:19:07Z
0.0,-128.0,0.10000000000000001,1.2457316666666667,103.79363333333333,46.0,511.0,1385317157.0,2013-11-25T02:19:17Z
0.0,-128.0,0.10000000000000001,1.2457333333333334,103.79364,48.0,511.0,1385317165.0,2013-11-25T02:19:25Z
0.0,-128.0,0.10000000000000001,1.2457366666666667,103.793645,104.0,511.0,1385317176.0,2013-11-25T02:19:36Z
0.0,-128.0,0.10000000000000001,1.2457583333333333,103.79363499999999,248.0,511.0,1385317217.0,2013-11-25T02:20:17Z
0.0,-128.0,0.10000000000000001,1.2457833333333332,103.79365833333334,493.0,511.0,1385317267.0,2013-11-25T02:21:07Z
0.0,-128.0,0.10000000000000001,1.2457866666666666,103.79368333333333,618.0,511.0,1385317297.0,2013-11-25T02:21:37Z
0.0,-128.0,0.10000000000000001,1.24579,103.79368333333333,732.0,511.0,1385317327.0,2013-11-25T02:22:07Z
